scenario,model,profile,run_count,delta_precision_mean,delta_recall_mean,delta_f1_mean,prompt_tokens_mean,output_tokens_mean,total_tokens_mean,cost_mean_usd
complex,gemini-2.5-flash,P05,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,172419.66666666666,3401.8333333333335,181628.66666666666,
complex,gemini-2.5-flash,P10,5,0.7,0.5488288288288288,0.5706611570247934,161412.0,2791.0,170211.6,
complex,gemini-2.5-flash,P20,6,0.9166666666666666,0.7086358136721113,0.7337199468406427,289040.8333333333,3216.3333333333335,297248.1666666667,
complex,gemini-2.5-flash,P50,4,1.0,0.875,0.9166666666666666,271613.75,3509.0,280831.0,
complex,gemini-2.5-pro,P05,2,0.245792736935341,0.5,0.32957244655581946,603435.0,1667.0,608639.0,
complex,gemini-2.5-pro,P10,5,1.0,0.8,0.8666666666666666,414117.0,1695.0,420116.0,
complex,gemini-2.5-pro,P20,6,0.6666666666666666,0.4586167800453515,0.5114734299516909,473355.6666666667,2196.3333333333335,480156.8333333333,
complex,gemini-2.5-pro,P50,4,0.875,1.0,0.9166666666666666,540023.25,2297.75,546751.75,
complex,gemini-3-flash-preview,P05,4,1.0,0.8129822968679075,0.8506163886874547,707529.0,2302.25,713658.75,
complex,gemini-3-flash-preview,P10,2,1.0,1.0,1.0,695674.5,2243.5,702287.0,
complex,gemini-3-flash-preview,P20,3,1.0,1.0,1.0,799854.6666666666,2600.6666666666665,806864.0,
complex,gemini-3-flash-preview,P50,3,0.8363914373088684,1.0,0.8915906788247213,703089.3333333334,2708.3333333333335,709866.0,
complex,gemini-3.1-flash-lite-preview,P05,4,0.875,0.6879822968679075,0.683949722020788,503076.25,1755.5,504831.75,
complex,gemini-3.1-flash-lite-preview,P10,3,1.0,0.8333333333333334,0.8888888888888888,435086.3333333333,2278.3333333333335,437364.6666666667,
complex,gemini-3.1-flash-lite-preview,P20,4,0.75,0.5630395274875057,0.6006894049346879,450970.75,2098.0,453068.75,
complex,gemini-3.1-flash-lite-preview,P50,3,1.0,1.0,1.0,317220.6666666667,1964.3333333333333,319185.0,
complex,gemini-3.1-pro-preview,P05,4,0.75,0.4380108991825613,0.5173195502357635,447909.75,1985.5,453035.25,
complex,gemini-3.1-pro-preview,P10,4,1.0,0.7921686746987951,0.8670276774969916,777126.25,2313.25,783318.5,
complex,gemini-3.1-pro-preview,P20,4,0.875,0.7909638554216867,0.7828264542601978,636571.75,2484.25,643188.25,
complex,gemini-3.1-pro-preview,P50,4,1.0,0.6889188597232958,0.7681694539173627,732792.75,2343.75,739329.25,
simple,gemini-2.5-flash,P05,7,0.8391330118399393,0.3734180805134186,0.5055286335819792,155701.57142857142,3129.4285714285716,163179.0,
simple,gemini-2.5-flash,P10,7,0.979648230096273,0.47736965535874615,0.6360822604139769,321639.14285714284,2861.8571428571427,328844.4285714286,
simple,gemini-2.5-flash,P20,7,0.9788495910415337,0.5857031473099855,0.7181990418285852,349379.0,2857.4285714285716,357099.28571428574,
simple,gemini-2.5-flash,P50,2,0.9851424317969681,0.5394293272147743,0.6876392847888054,222639.0,3533.0,231427.0,
simple,gemini-2.5-pro,P05,5,0.779884576544285,0.40385722727349666,0.4903984604923382,556608.8,1893.6,562571.2,
simple,gemini-2.5-pro,P10,5,0.9799633340740206,0.6522543396788889,0.7361233783199598,629520.0,1535.2,634753.0,
simple,gemini-2.5-pro,P20,5,0.9810859476666225,0.7042130342269622,0.8098614713071841,681987.2,1857.6,687745.2,
simple,gemini-2.5-pro,P50,2,0.9736808397944594,0.5901058036380907,0.7319596823394376,836331.5,1971.5,842426.0,
simple,gemini-3-flash-preview,P05,4,0.8171410177701368,0.4201770241864465,0.5213314250677461,602164.25,2811.5,608329.0,
simple,gemini-3-flash-preview,P10,4,0.948859006392754,0.6779890814613263,0.7386069159846632,738173.25,2213.0,743204.25,
simple,gemini-3-flash-preview,P20,3,0.9801518701895248,0.7329033579033579,0.7699918770708024,570611.3333333334,2517.0,576300.0,
simple,gemini-3-flash-preview,P50,1,0.9862809424396063,0.7557129798903108,0.8557381291240781,642571.0,2068.0,647811.0,
simple,gemini-3.1-flash-lite-preview,P05,4,0.879629781588086,0.5887335416924402,0.6849082717925331,588997.75,1906.5,590904.25,
simple,gemini-3.1-flash-lite-preview,P10,4,0.8537233806206628,0.5122320799859761,0.5982156746380715,605179.0,2190.0,607369.0,
simple,gemini-3.1-flash-lite-preview,P20,4,0.9794838332403482,0.9179273827534039,0.9414452125170027,625028.0,2038.5,627066.5,
simple,gemini-3.1-flash-lite-preview,P50,2,0.8526600520728258,0.6680290644868302,0.7243558788978994,632203.0,2061.0,634264.0,
simple,gemini-3.1-pro-preview,P05,4,0.9333217541241462,0.6788779889638259,0.7369304017980303,757944.0,2309.75,764102.25,
simple,gemini-3.1-pro-preview,P10,4,0.8821528268249186,0.6074766417288279,0.6717268673064013,633422.0,2450.25,639549.0,
simple,gemini-3.1-pro-preview,P20,4,0.9803361740853523,0.606691005626485,0.6690708395332579,636377.25,2474.25,642350.25,
simple,gemini-3.1-pro-preview,P50,2,0.9851424317969681,0.7032594762863944,0.7835481688783453,820023.5,2492.5,825875.0,
